Emissao_CO2,Classificacao_Emissao,Consumo,Classificacao_consumo,Tipo_edificio,Estado_edificio,Ano_construcao,Superficie_m2,Municipio,Provincia,Classificacao
48.92,E,238.27,E,Vivienda individual,Existente,1969,70,HUESCA,HUESCA,EE
17.34,C,80.94,D,Vivienda individual,Existente,2006,70,HUESCA,HUESCA,CD
31.04,D,147.21,E,Vivienda individual,Existente,2008,54.03,HUESCA,HUESCA,DE
90.63,F,364.49,F,Local,Existente,1952,68,HUESCA,HUESCA,FF
49.3,E,189.76,E,Vivienda individual,Existente,1963,52,HUESCA,HUESCA,EE
53.33,E,201.42,E,Vivienda individual,Existente,1978,77.79,HUESCA,HUESCA,EE
49.87,E,200.57,E,Vivienda individual,Existente,1993,58.65,HUESCA,HUESCA,EE
52.18,E,257.11,E,Vivienda individual,Existente,1970,60.61,HUESCA,HUESCA,EE
52.01,E,257.01,E,Vivienda individual,Existente,1985,99,HUESCA,HUESCA,EE
73.58,E,283.35,E,Vivienda individual,Existente,1971,77.35,HUESCA,HUESCA,EE
60.48,E,298.96,E,Vivienda individual,Existente,1987,100,HUESCA,HUESCA,EE
104.89,G,407,G,Vivienda individual,Existente,1940,51,HUESCA,HUESCA,GG
64.25,E,315.18,E,Vivienda individual,Existente,1971,53.21,HUESCA,HUESCA,EE
71.52,E,353.61,F,Vivienda individual,Existente,1968,58.55,HUESCA,HUESCA,EF
18.42,C,88.49,C,Vivienda individual,Existente,2007,50.95,HUESCA,HUESCA,CC
48.39,D,232.39,E,Edificio completo,Existente,1903,3414.6,HUESCA,HUESCA,DE
44.36,E,216.19,E,Vivienda individual,Existente,1970,55.85,HUESCA,HUESCA,EE
30.76,D,148.75,E,Vivienda individual,Existente,1971,80,HUESCA,HUESCA,DE
72.78,E,274.4,E,Vivienda individual,Existente,1973,76.9,HUESCA,HUESCA,EE
48.11,E,227.37,E,Vivienda individual,Existente,2008,61.6,HUESCA,HUESCA,EE
50.69,E,220.78,E,Vivienda individual,Existente,2010,88,HUESCA,HUESCA,EE
17.52,C,85.52,C,Vivienda individual,Existente,2009,64,HUESCA,HUESCA,CC
26.05,D,127.53,D,Vivienda individual,Existente,1973,168,HUESCA,HUESCA,DD
